# Frame Contacts1 Contacts2
0 9 1
1 7 0
2 13 0
3 18 2
4 10 12
5 12 4
6 21 0
7 12 0
8 21 0
9 10 0
10 11 0
11 19 0
12 20 2
13 35 2
14 20 6
15 13 0
16 20 4
17 10 5
18 5 9
19 12 30
20 3 5
21 2 4
22 8 6
23 6 9
24 3 7
25 5 2
26 12 0
27 13 18
28 14 16
29 8 9
30 11 16
31 3 5
32 4 0
33 7 0
34 1 8
35 10 10
36 7 14
37 6 11
38 9 14
39 0 14
40 0 13
41 0 9
42 0 11
43 0 8
44 0 9
45 0 4
46 1 8
47 0 5
48 0 6
49 0 12
50 7 0
51 7 0
52 7 4
53 6 7
54 5 9
55 7 8
56 9 18
57 11 10
58 9 13
59 15 13
60 11 15
61 3 10
62 4 11
63 0 0
64 0 0
65 0 7
66 0 5
67 0 5
68 3 7
69 3 8
70 5 9
71 4 10
72 4 3
73 3 13
74 0 7
75 0 3
76 2 2
77 0 8
78 1 18
79 0 5
80 0 8
81 0 5
82 0 4
83 13 0
84 7 8
85 12 0
86 12 0
87 12 7
88 10 10
89 10 9
90 9 9
91 11 9
92 7 7
93 9 17
94 5 11
95 3 20
96 3 15
97 6 17
98 10 22
99 11 8
100 6 20
101 7 27
102 6 27
103 1 28
104 4 24
105 0 34
106 1 29
107 1 23
108 2 27
109 0 18
110 3 15
111 6 23
112 11 23
113 11 26
114 15 30
115 11 25
116 12 32
117 8 31
118 15 33
119 11 26
120 19 29
121 12 29
122 12 30
123 11 34
124 10 29
125 5 30
126 7 16
127 5 23
128 4 16
129 3 18
130 1 28
131 1 15
132 0 19
133 2 12
134 3 12
135 2 18
136 3 13
137 7 13
138 8 16
139 8 14
140 9 15
141 9 15
142 6 13
143 11 11
144 4 21
145 14 15
146 3 16
147 3 15
148 14 9
149 5 12
150 6 13
151 0 6
152 0 5
153 0 11
154 5 2
155 1 7
156 3 6
157 8 4
158 12 5
159 2 6
160 12 9
161 13 9
162 15 5
163 25 6
164 13 6
165 4 5
166 5 4
167 9 17
168 11 4
169 14 15
170 4 20
171 6 25
172 3 24
173 11 20
174 9 36
175 8 35
176 9 23
177 10 25
178 3 19
179 2 26
180 1 29
181 8 18
182 7 29
183 9 15
184 9 21
185 11 26
186 17 35
187 11 25
188 7 23
189 13 33
190 9 19
191 7 30
192 8 32
193 6 38
194 12 45
195 14 29
196 7 25
197 5 31
198 8 25
199 10 27
200 9 12
201 8 21
202 11 7
203 16 18
204 8 11
205 10 11
206 8 16
207 8 16
208 12 21
209 10 14
210 12 10
211 12 11
212 13 9
213 10 7
214 10 13
215 13 14
216 6 6
217 9 7
218 10 8
219 14 7
220 14 7
221 13 9
222 8 7
223 15 9
224 8 8
225 6 14
226 10 13
227 8 9
228 13 4
229 19 0
230 16 2
231 17 0
232 16 15
233 16 12
234 16 11
235 23 0
236 26 1
237 16 0
238 20 1
239 15 0
240 20 1
241 16 3
242 20 4
243 33 7
244 26 6
245 31 0
246 21 10
247 25 16
248 18 19
249 20 24
250 25 16
251 24 27
252 20 24
253 24 43
254 34 35
255 26 22
256 34 34
257 30 26
258 26 28
259 38 14
260 30 33
261 26 23
262 31 36
263 37 20
264 35 19
265 26 12
266 24 4
267 24 12
268 23 14
269 23 6
270 29 6
271 33 8
272 28 8
273 33 32
274 31 38
275 13 27
276 20 24
277 16 13
278 20 32
279 14 14
