# Frame Contacts1 Contacts2
0 0 44
1 0 42
2 0 38
3 4 67
4 12 29
5 8 29
6 10 35
7 5 25
8 7 31
9 13 26
10 5 27
11 6 19
12 6 22
13 4 19
14 0 49
15 0 39
16 3 38
17 3 31
18 7 17
19 4 28
20 3 19
21 0 14
22 0 13
23 0 13
24 0 12
25 0 17
26 0 21
27 0 20
28 0 38
29 0 37
30 0 33
31 0 30
32 0 16
33 0 22
34 0 17
35 7 12
36 2 21
37 0 20
38 0 34
39 0 32
40 0 29
41 2 32
42 3 21
43 2 36
44 0 19
45 2 26
46 0 30
47 0 24
48 0 23
49 1 25
50 5 10
51 5 15
52 2 14
53 3 13
54 3 11
55 4 18
56 5 17
57 6 12
58 7 10
59 7 1
60 5 5
61 3 9
62 1 4
63 5 11
64 6 8
65 3 6
66 4 6
67 2 4
68 0 4
69 2 7
70 0 10
71 0 13
72 0 6
73 1 5
74 0 13
75 2 10
76 1 5
77 2 3
78 0 6
79 1 6
80 0 1
81 2 0
82 4 5
83 6 4
84 8 8
85 6 9
86 14 10
87 15 15
88 9 16
89 8 12
90 5 5
91 12 3
92 11 0
93 11 0
94 1 5
95 10 8
96 6 5
97 7 0
98 9 3
99 10 14
100 3 6
101 2 3
102 1 4
103 6 7
104 15 6
105 11 5
106 8 6
107 8 1
108 7 2
109 9 2
110 7 2
111 0 7
112 0 8
113 0 8
114 1 7
115 1 7
116 0 8
117 0 7
118 0 8
119 0 1
120 1 2
121 21 9
122 9 7
123 2 1
124 1 8
125 0 7
126 0 2
127 0 0
128 0 1
129 0 1
130 0 2
131 2 4
132 0 0
133 1 1
134 0 1
135 1 3
136 2 7
137 0 1
138 0 4
139 1 3
140 2 1
141 1 0
142 0 0
143 0 0
144 0 2
145 1 1
146 2 0
147 0 1
148 11 1
149 0 2
150 5 2
151 0 8
152 0 2
153 0 8
154 0 4
155 4 26
156 1 15
157 0 17
158 1 17
159 6 3
160 1 1
161 8 0
162 7 6
163 0 3
164 2 7
165 9 8
166 6 6
167 5 10
168 6 5
169 5 9
170 4 7
171 0 9
172 1 7
173 6 6
174 9 3
175 7 5
176 25 16
177 29 7
178 18 6
179 22 1
180 14 8
181 26 13
182 16 7
183 13 8
184 13 13
185 14 11
186 33 13
187 30 7
188 32 3
189 16 5
190 20 6
191 21 3
192 11 12
193 23 4
194 26 10
195 28 9
196 14 16
197 9 7
198 12 7
199 21 2
200 14 5
201 19 15
202 14 22
203 6 10
